Player,Teams,Matches,Inns,Balls,Overs,Mdns,Runs,Wkts,Average,Econ,Strike Rate,4 wickets in a match,5 Wickets in match
C Sakariya (DC),Delhi Capital,2,2,48,8,-,89,3,29.66,11.12,16,-,-
AS Tendulkar (MI),Mumbai Indians,4,4,59,9.5,-,92,3,30.66,9.35,19.66,-,-
GJ Maxwell (RCB),Royal Challengers Bangalore,14,7,62,10.2,-,94,3,31.33,9.09,20.66,-,-
DJ Willey (RCB),Royal Challengers Bangalore,4,4,90,15,1,105,3,35,7,30,-,-
Mohsin Khan (LSG),Lucknow Super Giants,5,4,60,10,-,107,3,35.66,10.7,20,-,-
K Gowtham (LSG),Lucknow Super Giants,7,6,96,16,-,118,3,39.33,7.37,32,-,-
Sikandar Raza (PBKS),Punjab Kings,7,6,72,12,-,119,3,39.66,9.91,24,-,-
KM Asif (RR),Rajasthan Royals,4,4,84,14,-,138,3,46,9.85,28,-,-
Washington Sundar (SRH),Sunrisers Hyderabad,7,7,106,17.4,-,146,3,48.66,8.26,35.33,-,-
HR Shokeen (MI),Mumbai Indians,8,8,114,19,-,187,3,62.33,9.84,38,-,-
HH Pandya (GT),Gujarat Titans,16,11,150,25,-,228,3,76,9.12,50,-,-
CJ Jordan (MI),Mumbai Indians,6,6,132,22,1,237,3,79,10.77,44,-,-
AU Rashid (SRH),Sunrisers Hyderabad,2,2,42,7,-,56,2,28,8,21,-,-
K Khejroliya (KKR),Kolkata Knight Riders,2,2,26,4.2,-,64,2,32,14.76,13,-,-
K Yadav (RR),Rajasthan Royals,2,2,42,7,-,68,2,34,9.71,21,-,-
TG Southee (KKR),Kolkata Knight Riders,2,2,36,6,-,79,2,39.5,13.16,18,-,-
LS Livingstone (PBKS),Punjab Kings,9,5,42,7,-,94,2,47,13.42,21,-,-
Lalit Yadav (DC),Delhi Capital,6,4,78,13,-,118,2,59,9.07,39,-,-
Abhishek Sharma (SRH),Sunrisers Hyderabad,11,5,72,12,-,124,2,62,10.33,36,-,-
Yash Dayal (GT),Gujarat Titans,5,5,84,14,-,165,2,82.5,11.78,42,-,-
JC Archer (MI),Mumbai Indians,5,5,120,20,-,190,2,95,9.5,60,-,-
T Stubbs (MI),Mumbai Indians,2,1,12,2,-,14,1,14,7,12,-,-
RJW Topley (RCB),Royal Challengers Bangalore,1,1,12,2,-,14,1,14,7,12,-,-
R Powell (DC),Delhi Capital,3,1,12,2,-,18,1,18,9,12,-,-
P Dubey (DC),Delhi Capital,1,1,18,3,-,19,1,19,6.33,18,-,-
GD Phillips (SRH),Sunrisers Hyderabad,5,2,18,3,-,20,1,20,6.66,18,-,-
